,v1,v2
5134,ham,Sday only joined.so training we started today:)
2135,ham,"Carlos took a while (again), we leave in a minute"
1069,ham,Jus finish bathing...
4145,ham,I canеХt wait for cornwall. Hope tonight isnеХt too bad as well but itеХs rock night shite. Anyway iеХm going for a kip now have a good night. Speak to you soon.
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged еЈ5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
3945,ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
2632,ham,I WILL CAL YOU SIR. In meeting
4794,ham,Saw Guys and Dolls last night with Patrick Swayze it was great
1423,ham,Lol great now im getting hungry.
5497,spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
5000,ham,"Nope. Since ayo travelled, he has forgotten his guy"
5483,ham,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... 
1318,ham,Ok...
1305,ham,Designation is software developer and may be she get chennai:)
554,ham,I‰Ычll have a look at the frying pan in case it‰Ычs cheap or a book perhaps. No that‰Ычs silly a frying pan isn‰Ычt likely to be a book
3391,ham,What r u cooking me for dinner?
2487,ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.
4893,ham,Convey my regards to him
707,ham,Quite late lar... Ard 12 anyway i wun b drivin...
2405,ham,I'm meeting Darren...
2650,ham,Do you like shaking your booty on the dance floor?
2505,ham,Congrats kano..whr s the treat maga?
1426,ham,Ok...
3779,ham,Then ur physics get a-?
692,ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
4990,ham,"We made it! Eta at taunton is 12:30 as planned, hope that‰Ычs still okday?! Good to see you! :-xx"
4493,ham,Man this bus is so so so slow. I think you're gonna get there before me
1871,ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
4402,ham,Just getting back home
4221,ham,Yo you around? A friend of mine's lookin to pick up later tonight
5222,ham,5 nights...We nt staying at port step liao...Too ex
2594,ham,"That‰Ычs the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!"
1807,ham,Do have a nice day today. I love you so dearly.
